team,elo
Mexico,1687.48
Canada,1559.48
USA,1671.23
Germany,1735.77
England,1828.02
Brazil,1765.86
Spain,1874.71
Portugal,1767.85
Argentina,1877.27
Colombia,1698.35
South Africa,1428.38
Korea Republic,1591.63
Czechia,1505.74
Bosnia & Herzegovina,1387.22
Qatar,1450.31
Switzerland,1650.06
Morocco,1755.10
Haiti,1293.10
Scotland,1503.34
Paraguay,1505.35
Australia,1579.34
Türkiye,1605.73
Curaçao,1294.77
Côte d'Ivoire,1540.87
Ecuador,1598.52
Netherlands,1753.57
Japan,1661.58
Sweden,1509.79
Tunisia,1476.41
Belgium,1742.24
Egypt,1562.37
IR Iran,1619.58
New Zealand,1275.58
Cabo Verde,1371.11
Saudi Arabia,1423.88
Uruguay,1673.07
France,1870.70
Senegal,1684.07
Iraq,1446.28
Norway,1557.44
Algeria,1571.03
Austria,1597.40
Jordan,1387.74
Congo DR,1105.96
Uzbekistan,1458.73
Croatia,1714.87
Ghana,1346.88
Panama,1539.16
