country,weight
Mexico,5
Canada,5
USA,5
Germany,3
England,3
Brazil,3
Spain,3
Portugal,3
Argentina,3
Colombia,3
South Africa,1
Korea Republic,1
Czechia,1
Bosnia & Herzegovina,1
Qatar,1
Switzerland,1
Morocco,1
Haiti,1
Scotland,1
Paraguay,1
Australia,1
Türkiye,1
Curaçao,1
Côte d'Ivoire,1
Ecuador,1
Netherlands,1
Japan,1
Sweden,1
Tunisia,1
Belgium,1
Egypt,1
IR Iran,1
New Zealand,1
Cabo Verde,1
Saudi Arabia,1
Uruguay,1
France,1
Senegal,1
Iraq,1
Norway,1
Algeria,1
Austria,1
Jordan,1
Congo DR,1
Uzbekistan,1
Croatia,1
Ghana,1
Panama,1
