match_id,group,team1,team2,matchday,city,stadium,date,kickoff_time,risk,capacity,person_weighted_risk
A_1,A,1,2,1,Houston,NRG Stadium,2026-06-12,18:00,22.58,68777,1552984.7
A_2,A,3,4,1,Miami,Hard Rock Stadium,2026-06-13,18:00,27.65,64478,1782816.7
A_3,A,1,3,2,Toronto,BMO Field,2026-06-17,18:00,23.15,43036,996283.4
A_4,A,2,4,2,Dallas,AT&T Stadium,2026-06-19,18:00,22.65,70649,1600199.8
A_5,A,1,4,3,Vancouver,BC Place,2026-06-27,18:00,21.43,52497,1125010.7
A_6,A,2,3,3,Monterrey,Estadio BBVA,2026-06-25,18:00,27.26,51243,1396884.2
B_1,B,1,2,1,Monterrey,Estadio BBVA,2026-06-14,18:00,27.26,51243,1396884.2
B_2,B,3,4,1,Mexico City,Estadio Azteca,2026-06-14,18:00,18.38,80824,1485545.1
B_3,B,1,3,2,Vancouver,BC Place,2026-06-22,18:00,21.43,52497,1125010.7
B_4,B,2,4,2,San Francisco Bay Area,Levi's Stadium,2026-06-17,18:00,22.26,68827,1532089.0
B_5,B,1,4,3,Toronto,BMO Field,2026-06-24,18:00,23.15,43036,996283.4
B_6,B,2,3,3,Dallas,AT&T Stadium,2026-06-24,18:00,22.65,70649,1600199.8
C_1,C,1,2,1,Philadelphia,Lincoln Financial Field,2026-06-15,18:00,26.22,68324,1791455.3
C_2,C,3,4,1,Guadalajara,Estadio Akron,2026-06-12,18:00,21.85,45664,997758.4
C_3,C,1,3,2,Atlanta,Mercedes-Benz Stadium,2026-06-20,18:00,22.24,68239,1517635.4
C_4,C,2,4,2,Seattle,Lumen Field,2026-06-21,18:00,20.66,66925,1382670.5
C_5,C,1,4,3,San Francisco Bay Area,Levi's Stadium,2026-06-25,18:00,22.26,68827,1532089.0
C_6,C,2,3,3,Miami,Hard Rock Stadium,2026-06-27,18:00,27.65,64478,1782816.7
D_1,D,1,2,1,Kansas City,Arrowhead Stadium,2026-06-11,18:00,28.42,69045,1962258.9
D_2,D,3,4,1,New York New Jersey,MetLife Stadium,2026-06-11,18:00,25.28,80663,2039160.6
D_3,D,1,3,2,Boston,Gillette Stadium,2026-06-21,18:00,24.32,64146,1560030.7
D_4,D,2,4,2,Guadalajara,Estadio Akron,2026-06-17,18:00,21.85,45664,997758.4
D_5,D,1,4,3,Dallas,AT&T Stadium,2026-06-27,18:00,22.65,70649,1600199.8
D_6,D,2,3,3,Philadelphia,Lincoln Financial Field,2026-06-24,18:00,26.22,68324,1791455.3
E_1,E,1,2,1,Atlanta,Mercedes-Benz Stadium,2026-06-16,18:00,22.24,68239,1517635.4
E_2,E,3,4,1,Seattle,Lumen Field,2026-06-16,18:00,20.66,66925,1382670.5
E_3,E,1,3,2,Boston,Gillette Stadium,2026-06-19,18:00,24.32,64146,1560030.7
E_4,E,2,4,2,Atlanta,Mercedes-Benz Stadium,2026-06-22,18:00,22.24,68239,1517635.4
E_5,E,1,4,3,Monterrey,Estadio BBVA,2026-06-23,18:00,27.26,51243,1396884.2
