group,match_id,team1,team2,matchday
A,A_1,1,2,1
A,A_2,3,4,1
A,A_3,1,3,2
A,A_4,2,4,2
A,A_5,1,4,3
A,A_6,2,3,3
B,B_1,1,2,1
B,B_2,3,4,1
B,B_3,1,3,2
B,B_4,2,4,2
B,B_5,1,4,3
B,B_6,2,3,3
C,C_1,1,2,1
C,C_2,3,4,1
C,C_3,1,3,2
C,C_4,2,4,2
C,C_5,1,4,3
C,C_6,2,3,3
D,D_1,1,2,1
D,D_2,3,4,1
D,D_3,1,3,2
D,D_4,2,4,2
D,D_5,1,4,3
D,D_6,2,3,3
E,E_1,1,2,1
E,E_2,3,4,1
E,E_3,1,3,2
E,E_4,2,4,2
E,E_5,1,4,3
E,E_6,2,3,3
F,F_1,1,2,1
F,F_2,3,4,1
F,F_3,1,3,2
F,F_4,2,4,2
F,F_5,1,4,3
F,F_6,2,3,3
G,G_1,1,2,1
G,G_2,3,4,1
G,G_3,1,3,2
G,G_4,2,4,2
G,G_5,1,4,3
G,G_6,2,3,3
H,H_1,1,2,1
H,H_2,3,4,1
H,H_3,1,3,2
H,H_4,2,4,2
H,H_5,1,4,3
H,H_6,2,3,3
I,I_1,1,2,1
I,I_2,3,4,1
I,I_3,1,3,2
I,I_4,2,4,2
I,I_5,1,4,3
I,I_6,2,3,3
J,J_1,1,2,1
J,J_2,3,4,1
J,J_3,1,3,2
J,J_4,2,4,2
J,J_5,1,4,3
J,J_6,2,3,3
K,K_1,1,2,1
K,K_2,3,4,1
K,K_3,1,3,2
K,K_4,2,4,2
K,K_5,1,4,3
K,K_6,2,3,3
L,L_1,1,2,1
L,L_2,3,4,1
L,L_3,1,3,2
L,L_4,2,4,2
L,L_5,1,4,3
L,L_6,2,3,3
