group,teams
A,"Argentina; Mexico; Norway; Congo DR"
B,"Croatia; Austria; Canada; South Africa"
C,"Colombia; USA; Tunisia; Qatar"
D,"Spain; Uruguay; Uzbekistan; Haiti"
E,"Portugal; Japan; Algeria; Curaçao"
F,"Brazil; IR Iran; Panama; Cabo Verde"
G,"Morocco; Switzerland; Czechia; Jordan"
H,"Netherlands; Korea Republic; Egypt; Bosnia & Herzegovina"
I,"England; Senegal; Sweden; New Zealand"
J,"Germany; Ecuador; Côte d'Ivoire; Saudi Arabia"
K,"France; Australia; Scotland; Ghana"
L,"Belgium; Türkiye; Paraguay; Iraq"
