match_id,group,team1,team2,matchday,city,stadium,date,kickoff_time,risk,capacity,person_weighted_risk
A_1,A,1,2,1,San Francisco,Levi's Stadium,2026-06-14,21:00,13.14,68827,904386.78
A_2,A,3,4,1,Vancouver,BC Place,2026-06-14,18:00,13.3,52497,698210.1000000001
A_3,A,1,3,2,Los Angeles,SoFi Stadium,2026-06-18,21:00,14.49,70492,1021429.08
A_4,A,2,4,2,Toronto,BMO Field,2026-06-20,12:00,17.93,43036,771635.48
A_5,A,1,4,3,Houston,NRG Stadium,2026-06-23,15:00,22.39,68777,1539917.03
A_6,A,2,3,3,Mexico City,Estadio Azteca,2026-06-26,18:00,15.18,80824,1226908.32
B_1,B,1,2,1,Vancouver,BC Place,2026-06-12,18:00,12.87,52497,675636.39
B_2,B,3,4,1,Seattle,Lumen Field,2026-06-12,18:00,13.23,66925,885417.75
B_3,B,1,3,2,Toronto,BMO Field,2026-06-17,15:00,15.86,43036,682550.96
B_4,B,2,4,2,San Francisco,Levi's Stadium,2026-06-20,21:00,12.64,68827,869973.28
B_5,B,1,4,3,Boston,Gillette Stadium,2026-06-23,21:00,14.21,64146,911514.66
B_6,B,2,3,3,Monterrey,Estadio BBVA,2026-06-23,18:00,24.28,51243,1244180.04
C_1,C,1,2,1,Vancouver,BC Place,2026-06-13,12:00,13.31,52497,698735.0700000001
C_2,C,3,4,1,Boston,Gillette Stadium,2026-06-15,18:00,11.43,64146,733188.78
C_3,C,1,3,2,Toronto,BMO Field,2026-06-18,12:00,14.54,43036,625743.44
C_4,C,2,4,2,Mexico City,Estadio Azteca,2026-06-21,18:00,14.65,80824,1184071.6
C_5,C,1,4,3,Monterrey,Estadio BBVA,2026-06-25,18:00,24.5,51243,1255453.5
C_6,C,2,3,3,Monterrey,Estadio BBVA,2026-06-24,18:00,24.4,51243,1250329.2
D_1,D,1,2,1,Guadalajara,Estadio Akron,2026-06-13,12:00,21.96,45664,1002781.4400000001
D_2,D,3,4,1,Seattle,Lumen Field,2026-06-11,18:00,12.68,66925,848609.0
D_3,D,1,3,2,Miami,Hard Rock Stadium,2026-06-20,18:00,24.17,64478,1558433.26
D_4,D,2,4,2,San Francisco,Levi's Stadium,2026-06-21,21:00,12.66,68827,871349.8200000001
D_5,D,1,4,3,Los Angeles,SoFi Stadium,2026-06-25,21:00,14.55,70492,1025658.6000000001
D_6,D,2,3,3,Seattle,Lumen Field,2026-06-27,12:00,13.35,66925,893448.75
E_1,E,1,2,1,San Francisco,Levi's Stadium,2026-06-16,15:00,13.69,68827,942241.63
E_2,E,3,4,1,Seattle,Lumen Field,2026-06-13,12:00,14.25,66925,953681.25
E_3,E,1,3,2,Boston,Gillette Stadium,2026-06-19,12:00,13.68,64146,877517.28
E_4,E,2,4,2,Boston,Gillette Stadium,2026-06-20,21:00,13.31,64146,853783.26
E_5,E,1,4,3,Miami,Hard Rock Stadium,2026-06-23,12:00,24.85,64478,1602278.3
E_6,E,2,3,3,Atlanta,Mercedes-Benz Stadium,2026-06-25,15:00,21.61,68239,1474644.79
F_1,F,1,2,1,San Francisco,Levi's Stadium,2026-06-11,21:00,11.76,68827,809405.52
F_2,F,3,4,1,Kansas City,Arrowhead Stadium,2026-06-13,12:00,22.26,69045,1536941.7000000002
F_3,F,1,3,2,Vancouver,BC Place,2026-06-17,12:00,13.72,52497,720258.8400000001
F_4,F,2,4,2,Toronto,BMO Field,2026-06-19,12:00,15.13,43036,651134.68
F_5,F,1,4,3,Guadalajara,Estadio Akron,2026-06-24,18:00,20.14,45664,919672.9600000001
F_6,F,2,3,3,Dallas,AT&T Stadium,2026-06-24,15:00,22.2,70649,1568407.8
G_1,G,1,2,1,Dallas,AT&T Stadium,2026-06-14,12:00,21.97,70649,1552158.53
G_2,G,3,4,1,Vancouver,BC Place,2026-06-11,15:00,13.99,52497,734433.03
G_3,G,1,3,2,Toronto,BMO Field,2026-06-22,12:00,16.8,43036,723004.8
G_4,G,2,4,2,Los Angeles,SoFi Stadium,2026-06-17,21:00,14.37,70492,1012970.0399999999
G_5,G,1,4,3,Los Angeles,SoFi Stadium,2026-06-27,21:00,14.11,70492,994642.12
G_6,G,2,3,3,Dallas,AT&T Stadium,2026-06-26,15:00,22.14,70649,1564168.86
H_1,H,1,2,1,Boston,Gillette Stadium,2026-06-16,21:00,12.15,64146,779373.9
H_2,H,3,4,1,Toronto,BMO Field,2026-06-16,15:00,14.07,43036,605516.52
H_3,H,1,3,2,Miami,Hard Rock Stadium,2026-06-22,18:00,24.49,64478,1579066.22
H_4,H,2,4,2,New York,MetLife Stadium,2026-06-19,21:00,15.34,80663,1237370.42
H_5,H,1,4,3,Houston,NRG Stadium,2026-06-25,15:00,22.45,68777,1544043.65
H_6,H,2,3,3,Mexico City,Estadio Azteca,2026-06-27,18:00,15.17,80824,1226100.08
I_1,I,1,2,1,Kansas City,Arrowhead Stadium,2026-06-14,12:00,21.63,69045,1493443.3499999999
I_2,I,3,4,1,San Francisco,Levi's Stadium,2026-06-15,21:00,11.23,68827,772927.2100000001
I_3,I,1,3,2,Guadalajara,Estadio Akron,2026-06-21,18:00,20.42,45664,932458.8800000001
I_4,I,2,4,2,Guadalajara,Estadio Akron,2026-06-22,18:00,19.28,45664,880401.92
I_5,I,1,4,3,Los Angeles,SoFi Stadium,2026-06-26,21:00,14.43,70492,1017199.5599999999
I_6,I,2,3,3,Vancouver,BC Place,2026-06-27,12:00,14.77,52497,775380.69
J_1,J,1,2,1,Los Angeles,SoFi Stadium,2026-06-16,21:00,14.45,70492,1018609.3999999999
J_2,J,3,4,1,Seattle,Lumen Field,2026-06-14,12:00,13.35,66925,893448.75
J_3,J,1,3,2,New York,MetLife Stadium,2026-06-20,21:00,15.33,80663,1236563.79
J_4,J,2,4,2,Philadelphia,Lincoln Financial Field,2026-06-20,21:00,16.35,68324,1117097.4000000001
J_5,J,1,4,3,Guadalajara,Estadio Akron,2026-06-23,18:00,19.82,45664,905060.48
J_6,J,2,3,3,Mexico City,Estadio Azteca,2026-06-24,18:00,15.13,80824,1222867.12
K_1,K,1,2,1,Mexico City,Estadio Azteca,2026-06-15,18:00,14.93,80824,1206702.32
K_2,K,3,4,1,Seattle,Lumen Field,2026-06-15,12:00,13.92,66925,931596.0
K_3,K,1,3,2,Philadelphia,Lincoln Financial Field,2026-06-19,12:00,18.47,68324,1261944.28
K_4,K,2,4,2,Boston,Gillette Stadium,2026-06-18,12:00,14.52,64146,931399.9199999999
K_5,K,1,4,3,Mexico City,Estadio Azteca,2026-06-25,18:00,14.29,80824,1154974.96
K_6,K,2,3,3,Atlanta,Mercedes-Benz Stadium,2026-06-26,15:00,21.08,68239,1438478.1199999999
L_1,L,1,2,1,Atlanta,Mercedes-Benz Stadium,2026-06-11,15:00,20.97,68239,1430971.8299999998
L_2,L,3,4,1,Guadalajara,Estadio Akron,2026-06-12,21:00,16.74,45664,764415.36
L_3,L,1,3,2,Kansas City,Arrowhead Stadium,2026-06-17,21:00,18.58,69045,1282856.0999999999
L_4,L,2,4,2,Philadelphia,Lincoln Financial Field,2026-06-17,12:00,17.58,68324,1201135.92
L_5,L,1,4,3,New York,MetLife Stadium,2026-06-23,21:00,16.1,80663,1298674.3
L_6,L,2,3,3,Houston,NRG Stadium,2026-06-24,15:00,22.32,68777,1535102.6400000001
