match_id,group,team1,team2,matchday,city,stadium,date,kickoff_time,risk,capacity,person_weighted_risk
A_1,A,1,2,1,Mexico City,Estadio Azteca,2026-06-11,21:00,15.77,80824,1274594.48
A_2,A,3,4,1,Guadalajara,Estadio Akron,2026-06-13,18:00,21.85,45664,997758.4
A_3,A,1,3,2,San Francisco Bay Area,Levi's Stadium,2026-06-20,21:00,17.71,68827,1218926.1700000002
A_4,A,2,4,2,Dallas,AT&T Stadium,2026-06-22,12:00,22.73,70649,1605851.77
A_5,A,1,4,3,Atlanta,Mercedes-Benz Stadium,2026-06-25,15:00,22.58,68239,1540836.6199999999
A_6,A,2,3,3,Guadalajara,Estadio Akron,2026-06-27,18:00,21.85,45664,997758.4
B_1,B,1,2,1,Mexico City,Estadio Azteca,2026-06-13,21:00,15.77,80824,1274594.48
B_2,B,3,4,1,Monterrey,Estadio BBVA,2026-06-13,18:00,27.26,51243,1396884.1800000002
B_3,B,1,3,2,Kansas City,Arrowhead Stadium,2026-06-17,12:00,28.93,69045,1997471.85
B_4,B,2,4,2,Los Angeles,SoFi Stadium,2026-06-22,21:00,18.32,70492,1291413.44
B_5,B,1,4,3,Guadalajara,Estadio Akron,2026-06-26,18:00,21.85,45664,997758.4
B_6,B,2,3,3,Monterrey,Estadio BBVA,2026-06-25,18:00,27.26,51243,1396884.1800000002
C_1,C,1,2,1,Philadelphia,Lincoln Financial Field,2026-06-16,18:00,26.22,68324,1791455.28
C_2,C,3,4,1,Seattle,Lumen Field,2026-06-15,12:00,20.37,66925,1363262.25
C_3,C,1,3,2,Boston,Gillette Stadium,2026-06-20,21:00,21.32,64146,1367592.72
C_4,C,2,4,2,Seattle,Lumen Field,2026-06-19,12:00,20.37,66925,1363262.25
C_5,C,1,4,3,Atlanta,Mercedes-Benz Stadium,2026-06-23,15:00,22.58,68239,1540836.6199999999
C_6,C,2,3,3,Houston,NRG Stadium,2026-06-27,15:00,22.93,68777,1577056.6099999999
D_1,D,1,2,1,Seattle,Lumen Field,2026-06-12,12:00,20.37,66925,1363262.25
D_2,D,3,4,1,Seattle,Lumen Field,2026-06-14,12:00,20.37,66925,1363262.25
D_3,D,1,3,2,Vancouver,BC Place,2026-06-18,15:00,21.67,52497,1137609.99
D_4,D,2,4,2,Houston,NRG Stadium,2026-06-22,15:00,22.93,68777,1577056.6099999999
D_5,D,1,4,3,Monterrey,Estadio BBVA,2026-06-26,18:00,27.26,51243,1396884.1800000002
D_6,D,2,3,3,San Francisco Bay Area,Levi's Stadium,2026-06-25,21:00,17.71,68827,1218926.1700000002
E_1,E,1,2,1,Toronto,BMO Field,2026-06-11,12:00,23.93,43036,1029851.48
E_2,E,3,4,1,Mexico City,Estadio Azteca,2026-06-14,21:00,15.77,80824,1274594.48
E_3,E,1,3,2,Philadelphia,Lincoln Financial Field,2026-06-22,18:00,26.22,68324,1791455.28
E_4,E,2,4,2,Monterrey,Estadio BBVA,2026-06-19,18:00,27.26,51243,1396884.1800000002
E_5,E,1,4,3,Seattle,Lumen Field,2026-06-26,12:00,20.37,66925,1363262.25
E_6,E,2,3,3,Toronto,BMO Field,2026-06-27,12:00,23.93,43036,1029851.48
F_1,F,1,2,1,Kansas City,Arrowhead Stadium,2026-06-11,21:00,25.07,69045,1730958.15
F_2,F,3,4,1,Vancouver,BC Place,2026-06-13,15:00,21.67,52497,1137609.99
F_3,F,1,3,2,Monterrey,Estadio BBVA,2026-06-21,18:00,27.26,51243,1396884.1800000002
F_4,F,2,4,2,Miami,Hard Rock Stadium,2026-06-21,18:00,27.65,64478,1782816.7
F_5,F,1,4,3,New York New Jersey,MetLife Stadium,2026-06-24,21:00,22.66,80663,1827823.58
F_6,F,2,3,3,Vancouver,BC Place,2026-06-24,15:00,21.67,52497,1137609.99
G_1,G,1,2,1,Kansas City,Arrowhead Stadium,2026-06-12,12:00,28.93,69045,1997471.85
G_2,G,3,4,1,Atlanta,Mercedes-Benz Stadium,2026-06-11,12:00,22.41,68239,1529235.99
G_3,G,1,3,2,Mexico City,Estadio Azteca,2026-06-19,21:00,15.77,80824,1274594.48
