match_id,group,city,date,kickoff_time_local,capacity
1,A,Mexico City,6/11/2026,13:00,80824
2,A,Guadalajara,6/11/2026,20:00,45664
3,A,Atlanta,6/18/2026,12:00,68239
4,A,Guadalajara,6/18/2026,19:00,45664
5,A,Mexico City,6/24/2026,19:00,80824
6,A,Monterrey,6/24/2026,19:00,51243
7,B,Toronto,6/12/2026,15:00,43036
8,B,San Francisco,6/13/2026,12:00,68827
9,B,Los Angeles,6/18/2026,12:00,70492
10,B,Vancouver,6/18/2026,15:00,52497
11,B,Vancouver,6/24/2026,12:00,52497
12,B,Seattle,6/24/2026,12:00,66925
13,C,New York,6/13/2026,18:00,80663
14,C,Boston,6/13/2026,21:00,64146
15,C,Boston,6/19/2026,18:00,64146
16,C,Philadelphia,6/19/2026,21:00,68324
17,C,Miami,6/24/2026,18:00,64478
18,C,Atlanta,6/24/2026,18:00,68239
19,D,Los Angeles,6/12/2026,18:00,70492
20,D,Vancouver,6/13/2026,21:00,52497
21,D,Seattle,6/19/2026,12:00,66925
22,D,San Francisco,6/19/2026,21:00,68827
23,D,Los Angeles,6/25/2026,19:00,70492
24,D,San Francisco,6/25/2026,19:00,68827
25,E,Houston,6/14/2026,13:00,68777
26,E,Philadelphia,6/14/2026,18:00,68324
27,E,Toronto,6/20/2026,16:00,43036
28,E,Kansas City,6/20/2026,19:00,69045
29,E,Philadelphia,6/25/2026,16:00,68324
30,E,New York,6/25/2026,16:00,80663
31,F,Dallas,6/14/2026,15:00,70649
32,F,Monterrey,6/14/2026,20:00,51243
33,F,Houston,6/20/2026,12:00,68777
34,F,Monterrey,6/20/2026,22:00,51243
35,F,Dallas,6/25/2026,18:00,70649
36,F,Kansas City,6/25/2026,18:00,69045
37,G,Seattle,6/15/2026,12:00,66925
38,G,Los Angeles,6/15/2026,18:00,70492
39,G,Los Angeles,6/21/2026,12:00,70492
40,G,Vancouver,6/21/2026,18:00,52497
41,G,Seattle,6/26/2026,20:00,66925
42,G,Vancouver,6/26/2026,20:00,52497
43,H,Atlanta,6/15/2026,12:00,68239
44,H,Miami,6/15/2026,18:00,64478
45,H,Atlanta,6/21/2026,12:00,68239
46,H,Miami,6/21/2026,18:00,64478
47,H,Houston,6/26/2026,18:00,68777
48,H,Guadalajara,6/26/2026,19:00,45664
49,I,New York,6/16/2026,15:00,80663
50,I,Boston,6/16/2026,18:00,64146
51,I,Philadelphia,6/22/2026,17:00,68324
52,I,New York,6/22/2026,20:00,80663
53,I,Boston,6/26/2026,15:00,64146
54,I,Toronto,6/26/2026,15:00,43036
55,J,Kansas City,6/16/2026,20:00,69045
56,J,San Francisco,6/16/2026,21:00,68827
57,J,Dallas,6/22/2026,12:00,70649
58,J,San Francisco,6/22/2026,20:00,68827
59,J,Kansas City,6/27/2026,21:00,69045
60,J,Dallas,6/27/2026,21:00,70649
61,K,Houston,6/17/2026,12:00,68777
62,K,Mexico City,6/17/2026,20:00,80824
63,K,Houston,6/23/2026,12:00,68777
64,K,Guadalajara,6/23/2026,20:00,45664
65,K,Miami,6/27/2026,19:00,64478
66,K,Atlanta,6/27/2026,19:00,68239
67,L,Dallas,6/17/2026,16:00,70649
68,L,Toronto,6/17/2026,18:00,43036
69,L,Boston,6/23/2026,16:00,64146
70,L,Toronto,6/23/2026,19:00,43036
71,L,New York,6/27/2026,17:00,80663
72,L,Philadelphia,6/27/2026,17:00,68324
