venue,coordinates
Toronto,"(43.6333, -79.4186)"
Vancouver,"(49.282729, -123.120738)"
Guadalajara,"(20.659698, -103.349609)"
Mexico City,"(19.432608, -99.133209)"
Monterrey,"(25.686613, -100.316116)"
Atlanta,"(33.755000, -84.401000)"
Boston,"(42.0911, -71.2644)"
Dallas,"(32.747841, -97.093628)"
Houston,"(29.684700, -95.410700)"
Kansas City,"(39.04889, -94.48389)"
Los Angeles,"(33.953300, -118.338700)"
Miami,"(25.958000, -80.238900)"
New York/New Jersey,"(40.7128, -74.0060)"
Philadelphia,"(39.900800, -75.167500)"
Seattle,"(47.595152, -122.331639)"
San Francisco Bay Area,"(37.403263, -121.969688)"
