City,Date,WBGT_12,WBGT_15,WBGT_18,WBGT_21,Climate_Controlled
Atlanta,6/11/2026,20.76,20.85,21.46,20.89,1
Atlanta,6/12/2026,23.17,26.04,24.84,22.72,1
Atlanta,6/13/2026,25.32,26.21,25.71,23.55,1
Atlanta,6/14/2026,27.4,28.33,27.21,24.09,1
Atlanta,6/15/2026,27.62,27.7,25.75,21.71,1
Atlanta,6/16/2026,24.54,25.12,24.16,20.51,1
Atlanta,6/17/2026,23.12,23.89,23.08,20.44,1
Atlanta,6/18/2026,23.1,23.88,22.4,19.67,1
Atlanta,6/19/2026,22.62,22.89,21.47,18.81,1
Atlanta,6/20/2026,22.6,23.09,21.56,19.52,1
Atlanta,6/21/2026,23.5,24.21,22.78,20.54,1
Atlanta,6/22/2026,24.08,25.99,24.9,22.2,1
Atlanta,6/23/2026,25.2,25.46,24.03,21.05,1
Atlanta,6/24/2026,24.79,24.61,23.9,20.98,1
Atlanta,6/25/2026,23.41,24.03,22.97,20.37,1
Atlanta,6/26/2026,21.48,21.41,22.92,21.61,1
Atlanta,6/27/2026,24,27.63,26.79,22.7,1
Boston,6/11/2026,27.47,27.86,24.9,22.31,0
Boston,6/12/2026,26.38,26.61,25.2,22.6,0
Boston,6/13/2026,27.62,27.92,26.58,23.43,0
Boston,6/14/2026,26.54,24.4,21.95,15.39,0
Boston,6/15/2026,14.88,12.44,11.43,10.22,0
Boston,6/16/2026,16.41,16.62,15.57,12.15,0
Boston,6/17/2026,18.47,19.23,17.97,15.42,0
Boston,6/18/2026,14.52,15.63,15.13,11.88,0
Boston,6/19/2026,13.68,14.66,14.55,11.89,0
Boston,6/20/2026,19.05,20.99,18.41,13.31,0
Boston,6/21/2026,22.52,23.54,22.38,17.51,0
Boston,6/22/2026,19.57,18.48,18.83,15.93,0
Boston,6/23/2026,18.49,19.72,18.79,14.21,0
Boston,6/24/2026,22.9,23.6,22.59,18.1,0
Boston,6/25/2026,26.64,27.73,26.12,20.95,0
Boston,6/26/2026,28.79,28.72,26.46,22.73,0
Boston,6/27/2026,26.56,27.29,25.16,21.83,0
Dallas,6/11/2026,26.4,27.58,27.03,23.69,1
Dallas,6/12/2026,27.98,29.02,27.56,24.51,1
Dallas,6/13/2026,28.35,27.67,27.27,25.23,1
Dallas,6/14/2026,25.83,27.85,27.05,25.24,1
Dallas,6/15/2026,28.66,29.86,28.01,25.74,1
Dallas,6/16/2026,29.81,30.36,28.7,25.56,1
Dallas,6/17/2026,28.79,30.03,27.85,25.16,1
Dallas,6/18/2026,28.43,29.26,28.77,26.08,1
Dallas,6/19/2026,27.24,28.45,27.17,23.69,1
Dallas,6/20/2026,25.65,27.04,25.29,21.98,1
Dallas,6/21/2026,25.66,26.87,25.98,23.25,1
Dallas,6/22/2026,26.19,27.41,26.31,24.04,1
Dallas,6/23/2026,27.22,27.79,26.91,24.07,1
Dallas,6/24/2026,27.11,27.01,26.21,23.42,1
Dallas,6/25/2026,27.22,27.93,26.41,24.28,1
Dallas,6/26/2026,27.51,26.72,26.2,23.72,1
Dallas,6/27/2026,27.98,27.92,26.57,23.99,1
Guadalajara,6/11/2026,22.84,23.62,21.32,18.15,0
Guadalajara,6/12/2026,22.2,22.92,20.52,16.74,0
Guadalajara,6/13/2026,21.96,23.45,21.3,18.46,0
Guadalajara,6/14/2026,24.03,24.81,21.5,18.07,0
Guadalajara,6/15/2026,23.15,24.39,22.05,19,0
Guadalajara,6/16/2026,23.81,24.65,21.35,19.72,0
Guadalajara,6/17/2026,24.51,24.34,21.71,19.52,0
Guadalajara,6/18/2026,24.86,25.86,21.6,19.52,0
Guadalajara,6/19/2026,23.8,24.09,21.25,19.35,0
Guadalajara,6/20/2026,23.16,24.1,21.37,18.32,0
Guadalajara,6/21/2026,21.88,22.51,20.42,17.84,0
Guadalajara,6/22/2026,21.38,21.48,19.28,18.04,0
Guadalajara,6/23/2026,22.27,23.18,19.82,18.33,0
Guadalajara,6/24/2026,23.68,24.58,20.14,18.32,0
Guadalajara,6/25/2026,24.05,24.12,21.61,18.41,0
Guadalajara,6/26/2026,22.35,22.55,22.58,18.49,0
